faa;name;lat;lon;alt;tz;dst;tzone
AEX;Alexandria Intl;31,32740; -92,54983;  89; -6;A;America/Chicago
AFE;Kake Airport;56,96139;-133,91028; 172; -9;A;America/Anchorage
AFW;Fort Worth Alliance Airport;32,98778; -97,31889; 722; -6;A;America/Chicago
AGC;Allegheny County Airport;40,35440; -79,93020;1252; -5;A;America/New_York
AGN;Angoon Seaplane Base;57,50361;-134,58500;   0; -9;A;America/Anchorage
AGS;Augusta Rgnl At Bush Fld;33,36994; -81,96450; 144; -5;A;America/New_York
AHN;Athens Ben Epps Airport;33,94860; -83,32630; 808; -5;A;America/New_York
AIA;Alliance Municipal Airport;42,05333;-102,80389;3931; -7;A;America/Denver
AIK;Municipal Airport;33,64939; -81,68503; 529; -5;A;America/New_York
AIN;Wainwright Airport;70,63806;-159,99472;  41; -9;A;America/Anchorage
AIZ;Lee C Fine Memorial Airport;38,09604; -92,54949; 869; -6;A;America/Chicago
AKB;Atka Airport;52,22028;-174,20639;  56; -9;A;America/Anchorage
AKC;Akron Fulton Intl;41,03750; -81,46692;1067; -5;A;America/New_York
AKI;Akiak Airport;60,90278;-161,23056;  30; -9;A;America/Anchorage
AKK;Akhiok Airport;56,93861;-154,18250;  44; -9;A;America/Anchorage
AKN;King Salmon;58,67678;-156,64928;  68; -9;A;America/Anchorage
AKP;Anaktuvuk Pass Airport;68,13360;-151,74300;2103; -9;A;America/Anchorage
ALB;Albany Intl;42,74827; -73,80169; 285; -5;A;America/New_York
ALI;Alice Intl;27,74089; -98,02694; 178; -6;A;America/Chicago
ALM;Alamogordo White Sands Regional Airport;32,83990;-105,99100;4200; -7;A;America/Denver
ALO;Waterloo Regional Airport;42,55710; -92,40030; 873; -6;A;America/Chicago
ALS;San Luis Valley Regional Airport;37,43500;-105,86667;7539; -7;A;America/Denver
ALW;Walla Walla Regional Airport;46,09490;-118,28800;1191; -8;A;America/Los_Angeles
ALX;Alexandria;38,80635; -77,06210;   1; -5;A;America/New_York
ALZ;Alitak Seaplane Base;56,89944;-154,24778;   0; -9;A;America/Anchorage
AMA;Rick Husband Amarillo Intl;35,21937;-101,70593;3607; -6;A;America/Chicago
ANB;Anniston Metro;33,58817; -85,85811; 612; -6;A;America/Chicago
ANC;Ted Stevens Anchorage Intl;61,17436;-149,99636; 152; -9;A;America/Anchorage
AND;Anderson Rgnl;34,49458; -82,70939; 782; -5;A;America/New_York
ANI;Aniak Airport;61,58160;-159,54300;  88; -9;A;America/Anchorage
ANN;Annette Island;55,04244;-131,57223; 119; -9;A;America/Anchorage
ANP;Lee Airport;38,94278; -76,56833;  34; -5;A;America/New_York
ANQ;Tri-State Steuben County Airport;41,63970; -85,08349; 995; -5;A;America/New_York
ANV;Anvik Airport;62,64670;-160,19100; 309; -9;A;America/Anchorage
AOH;Lima Allen County Airport;40,70748; -84,02708; 975; -5;A;America/New_York
AOO;Altoona Blair Co;40,29637; -78,32002;1504; -5;A;America/New_York
AOS;Amook Bay Seaplane Base;57,47139;-153,81528;   0; -9;A;America/Anchorage
APA;Centennial;39,57013;-104,84929;5883; -7;A;America/Denver
APC;Napa County Airport;38,21319;-122,28069;  35; -8;A;America/Los_Angeles
APF;Naples Muni;26,15262; -81,77529;   8; -5;A;America/New_York
APG;Phillips Aaf;39,46622; -76,16881;  57; -5;A;America/New_York
APN;Alpena County Regional Airport;45,07810; -83,56030; 689; -5;A;America/New_York
AQC;Klawock Seaplane Base;55,55466;-133,10169;   0; -9;A;America/Anchorage
ARA;Acadiana Rgnl;30,03776; -91,88390;  24; -6;A;America/Chicago
ARB;Ann Arbor Municipal Airport;42,13227; -83,44442; 839; -5;A;America/New_York
ARC;Arctic Village Airport;68,11470;-145,57900;2092; -9;A;America/Anchorage
ART;Watertown Intl;43,99192; -76,02174; 325; -5;A;America/New_York
ARV;Lakeland;45,92778; -89,73083;1629; -6;A;America/Chicago
ASE;Aspen Pitkin County Sardy Field;39,22320;-106,86900;7820; -7;A;America/Denver
ASH;Boire Field Airport;42,78175; -71,51478; 199; -5;A;America/New_York
AST;Astoria Regional Airport;46,15797;-123,87869;  15; -8;A;America/Los_Angeles
ATK;Atqasuk Edward Burnell Sr Memorial Airport;70,46730;-157,43600;  96; -9;A;America/Anchorage
ATL;Hartsfield Jackson Atlanta Intl;33,63672; -84,42807;1026; -5;A;America/New_York
ATT;Camp Mabry Austin City;30,31666; -97,76660;   0; -6;A;America/Chicago
ATW;Appleton;44,25753; -88,50758; 680; -6;A;America/Chicago
ATY;Watertown Regional Airport;44,91400; -97,15470;1748; -6;A;America/Chicago
AUG;Augusta State;44,32065; -69,79732; 352; -5;A;America/New_York
AUK;Alakanuk Airport;62,68000;-164,66000;  10; -9;A;America/Anchorage
AUO;Auburn University Regional;32,36910; -85,26040; 777; -6;A;America/Chicago
AUS;Austin Bergstrom Intl;30,19453; -97,66989; 542; -6;A;America/Chicago
AUW;Wausau Downtown Airport;44,92628; -89,62700;1201; -6;U;America/Chicago
AVL;Asheville Regional Airport;35,43619; -82,54181;2165; -5;A;America/New_York
AVO;Executive;27,59139; -81,52889; 160; -5;A;America/New_York
AVP;Wilkes Barre Scranton Intl;41,33848; -75,72340; 962; -5;A;America/New_York
AVW;Marana Regional;32,40956;-111,21839;2031; -7;U;America/Phoenix
AVX;Avalon;33,40500;-118,41583;1602; -8;A;America/Los_Angeles
AZA;Phoenix-Mesa Gateway;33,30783;-111,65500;1382; -7;N;America/Phoenix
AZO;Kalamazoo;42,23488; -85,55206; 874; -5;A;America/New_York
BAB;Beale Afb;39,13609;-121,43657; 113; -8;A;America/Los_Angeles
BAD;Barksdale Afb;32,50182; -93,66267; 166; -6;A;America/Chicago
BAF;Barnes Municipal;42,15795; -72,71587; 270; -5;A;America/New_York
BBX;Wings Field;40,13750; -75,26500; 302; -5;A;America/New_York
BCE;Bryce Canyon;37,70644;-112,14581;7590; -7;A;America/Denver
BCT;Boca Raton;26,37850; -80,10769;  13; -5;A;America/New_York
BDE;Baudette Intl;48,72844; -94,61222;1086; -6;A;America/Chicago
BDL;Bradley Intl;41,93889; -72,68322; 173; -5;A;America/New_York
BDR;Igor I Sikorsky Mem;41,16347; -73,12617;   9; -5;A;America/New_York
BEC;Beech Factory Airport;37,69392; -97,21492;1409; -6;A;America/Chicago
BED;Laurence G Hanscom Fld;42,46995; -71,28903; 133; -5;A;America/New_York
BEH;Southwest Michigan Regional Airport;42,12858; -86,42850; 643; -5;A;America/New_York
BET;Bethel;60,77978;-161,83800; 121; -9;A;America/Anchorage
BFD;Bradford Regional Airport;41,80310; -78,64010;2143; -5;A;America/New_York
BFF;Western Nebraska Regional Airport;41,87400;-103,59600;3967; -7;A;America/Denver
BFI;Boeing Fld King Co Intl;47,53000;-122,30195;  21; -8;A;America/Los_Angeles
BFL;Meadows Fld;35,43360;-119,05677; 507; -8;A;America/Los_Angeles
BFM;Mobile Downtown;30,62678; -88,06809;  26; -6;A;America/Chicago
BFP;Beaver Falls;40,77247; -80,39144;1253; -5;A;America/New_York
BFT;Beaufort;32,47741; -80,72316;  37; -5;A;America/New_York
BGE;Decatur County Industrial Air Park;30,97160; -84,63693; 141; -5;A;America/New_York
BGM;Greater Binghamton Edwin A Link Fld;42,20869; -75,97984;1636; -5;A;America/New_York
BGR;Bangor Intl;44,80744; -68,82814; 192; -5;A;America/New_York
BHB;Hancock County - Bar Harbor;44,44977; -68,36157;  83; -5;A;America/New_York
BHM;Birmingham Intl;33,56294; -86,75355; 644; -6;A;America/Chicago
BID;Block Island State Airport;41,16806; -71,57778; 108; -5;A;America/New_York
BIF;Biggs Aaf;31,84953;-106,38004;3948; -7;A;America/Denver
BIG;Allen Aaf;63,99455;-145,72164;1291; -9;A;America/Anchorage
BIL;Billings Logan International Airport;45,80921;-108,53765;3652; -7;A;America/Denver
BIS;Bismarck Municipal Airport;46,77584;-100,75793;1661; -6;A;America/Chicago
BIV;Tulip City Airport;42,74278; -86,10783; 698; -5;A;America/New_York
BIX;Keesler Afb;30,41043; -88,92443;  33; -6;A;America/Chicago
BJC;Rocky Mountain Metropolitan Airport;39,90889;-105,11722;5670; -7;A;America/Denver
BJI;Bemidji Regional Airport;47,51072; -94,93472;1391; -6;A;America/Chicago
BKC;Buckland Airport;65,98167;-161,14917;  31; -9;A;America/Anchorage
BKD;Stephens Co;32,71905; -98,89100;1284; -6;A;America/Chicago
BKF;Buckley Afb;39,70167;-104,75166;5662; -7;A;America/Denver
BKG;Branson LLC;36,53199; -93,20056;1302; -6;A;America/Chicago
BKH;Barking Sands Pmrf;22,02283;-159,78500;  23;-10;A;Pacific/Honolulu
BKL;Burke Lakefront Airport;41,51750; -81,68333; 583; -5;A;America/New_York
BKW;Raleigh County Memorial Airport;37,78730; -81,12420;2504; -5;A;America/New_York
BKX;Brookings Regional Airport;44,30480; -96,81690;1648; -6;A;America/Chicago
BLD;Boulder City Municipal Airport;35,56510;-114,51400;2201; -7;U;America/Phoenix
BLF;Mercer County Airport;37,29580; -81,20770;2857; -5;A;America/New_York
BLH;Blythe Airport;33,61917;-114,71689; 399; -8;A;America/Los_Angeles
BLI;Bellingham Intl;48,79269;-122,53753; 170; -8;A;America/Los_Angeles
BLV;Scott Afb Midamerica;38,54518; -89,83518; 459; -6;A;America/Chicago
BMC;Brigham City;41,55200;-112,06200;4229; -7;A;America/Denver
BMG;Monroe County Airport;39,14602; -86,61668; 846; -5;A;America/New_York
BMI;Central Illinois Rgnl;40,47711; -88,91592; 871; -6;A;America/Chicago
BMT;Beaumont Municipal;30,07020; -94,21510;  32; -6;A;America/Chicago
BMX;Big Mountain Afs;59,36125;-155,25882; 663; -9;A;America/Anchorage
BNA;Nashville Intl;36,12447; -86,67819; 599; -6;A;America/Chicago
BOI;Boise Air Terminal;43,56436;-116,22286;2871; -7;A;America/Denver
BOS;General Edward Lawrence Logan Intl;42,36435; -71,00518;  19; -5;A;America/New_York
BOW;Bartow Municipal Airport;27,94340; -81,78340; 125; -5;U;America/New_York
BPT;Southeast Texas Rgnl;29,95083; -94,02069;  15; -6;A;America/Chicago
BQK;Brunswick Golden Isles Airport;31,25880; -81,46650;  26; -5;A;America/New_York
BRD;Brainerd Lakes Rgnl;46,39831; -94,13808;1226; -6;U;America/Chicago
BRL;Southeast Iowa Regional Airport;40,78320; -91,12550; 698; -6;A;America/Chicago
BRO;Brownsville South Padre Island Intl;25,90683; -97,42586;  22; -6;A;America/Chicago
BRW;Wiley Post Will Rogers Mem;71,28545;-156,76600;  44; -9;A;America/Anchorage
BSF;Bradshaw Aaf;19,76006;-155,55372;6190;-10;A;Pacific/Honolulu
BTI;Barter Island Lrrs;70,13399;-143,58187;   2; -9;A;America/Anchorage
BTM;Bert Mooney Airport;45,95481;-112,49747;5550; -7;A;America/Denver
BTR;Baton Rouge Metro Ryan Fld;30,53317; -91,14964;  70; -6;A;America/Chicago
BTT;Bettles;66,91394;-151,52906; 644; -9;A;America/Anchorage
BTV;Burlington Intl;44,47186; -73,15328; 335; -5;A;America/New_York
BUF;Buffalo Niagara Intl;42,94053; -78,73217; 724; -5;A;America/New_York
BUR;Bob Hope;34,20067;-118,35867; 778; -8;A;America/Los_Angeles
BUU;Municipal Airport;42,69072; -88,30468; 780; -6;A;America/Chicago
BUY;Burlington-Alamance Regional Airport;36,04854; -79,47489; 617; -5;A;America/New_York
BVY;Beverly Municipal Airport;42,58414; -70,91614; 107; -5;A;America/New_York
BWD;KBWD;31,79361; -98,95650;1387; -6;A;America/Chicago
BWG;Bowling Green-Warren County Regional Airport;36,96453; -86,41967; 547; -6;A;America/Chicago
BWI;Baltimore Washington Intl;39,17536; -76,66833; 146; -5;A;America/New_York
BXK;Buckeye Municipal Airport;33,42042;-112,68618;1033; -7;U;America/Phoenix
BXS;Borrego Valley Airport;33,25903;-116,32097; 520; -8;A;America/Los_Angeles
BYH;Arkansas Intl;35,96435; -89,94396; 254; -6;A;America/Chicago
BYS;Bicycle Lake Aaf;35,28053;-116,63003;2350; -8;A;America/Los_Angeles
BYW;Blakely Island Airport;48,56025;-122,80243;   0; -8;A;America/Los_Angeles
BZN;Gallatin Field;45,77764;-111,16015;4500; -7;A;America/Denver
C02;Grand Geneva Resort Airport;42,61492; -88,38958; 835; -6;U;America/Chicago
C16;Frasca Field;40,14498; -88,20020; 735; -6;A;America/Chicago
C47;Portage Municipal Airport;43,56031; -89,48286; 825; -6;U;America/Chicago
C65;Plymouth Municipal Airport;41,36513; -86,30026; 800; -5;A;America/New_York
C89;Sylvania Airport;42,70325; -87,95897; 785; -6;A;America/Chicago
C91;Dowagiac Municipal Airport;41,99293; -86,12801; 748; -5;U;America/New_York
CAE;Columbia Metropolitan;33,93883; -81,11953; 236; -5;A;America/New_York
CAK;Akron Canton Regional Airport;40,91608; -81,44219;1228; -5;A;America/New_York
CAR;Caribou Muni;46,87150; -68,01792; 626; -5;A;America/New_York
CBE;Greater Cumberland Rgnl.;39,61528; -78,76056; 775; -5;A;America/New_York
CBM;Columbus Afb;33,64383; -88,44383; 219; -6;A;America/Chicago
CCO;Coweta County Airport;33,31157; -84,76976; 970; -5;A;America/New_York
CCR;Buchanan Field Airport;37,98967;-122,05689;  26; -8;A;America/Los_Angeles
CDB;Cold Bay;55,20606;-162,72544;  96; -9;A;America/Anchorage
CDC;Cedar City Rgnl;37,70097;-113,09885;5622; -7;A;America/Denver
CDI;Cambridge Municipal Airport;39,97503; -81,57758; 799; -5;U;America/New_York
CDK;CedarKey;29,13422; -83,05047;  11; -5;A;America/New_York
CDN;Woodward Field;34,28358; -80,56486; 302; -5;A;America/New_York
CDR;Chadron Municipal Airport;42,83750;-103,09556;3297; -7;A;America/Denver
CDS;Childress Muni;34,43378;-100,28799;1954; -6;A;America/Chicago
CDV;Merle K Mudhole Smith;60,49178;-145,47756;  48; -9;A;America/Anchorage
CDW;Caldwell Essex County Airport;40,87522; -74,28136; 172; -5;A;America/New_York
CEC;Del Norte County Airport;41,78020;-124,23700;  57; -8;A;America/Los_Angeles
CEF;Westover Arb Metropolitan;42,19401; -72,53478; 241; -5;A;America/New_York
CEM;Central Airport;65,57389;-144,78083; 937; -9;A;America/Anchorage
CEU;Clemson;34,67222; -82,88589; 891; -5;A;America/New_York
CEW;Bob Sikes;30,77883; -86,52211; 213; -6;A;America/Chicago
CEZ;Cortez Muni;37,30300;-108,62806;5918; -7;A;America/Denver
CFD;Coulter Fld;30,71569; -96,33136; 367; -6;A;America/Chicago
CGA;Craig Seaplane Base;55,47889;-133,14778;   0; -9;A;America/Anchorage
CGC;Crystal River;28,86761; -82,57411;   9; -5;A;America/New_York
CGF;Cuyahoga County;41,56512; -81,48636; 879; -5;A;America/New_York
CGI;Cape Girardeau Regional Airport;37,22530; -89,57080; 342; -6;A;America/Chicago
CGX;Meigs Field;41,86028; -87,60972; 585; -6;A;America/Chicago
CGZ;Casa Grande Municipal Airport;32,95489;-111,76683;1464; -7;U;America/Phoenix
CHA;Lovell Fld;35,03528; -85,20381; 683; -5;A;America/New_York
CHI;All Airports;41,88361; -87,63167; 596; -6;A;America/Chicago
CHO;Charlottesville-Albemarle;38,13864; -78,45286; 639; -5;A;America/New_York
CHS;Charleston Afb Intl;32,89865; -80,04053;  45; -5;A;America/New_York
CHU;Chuathbaluk Airport;61,57917;-159,21556; 243; -9;A;America/Anchorage
CIC;Chico Muni;39,79538;-121,85842; 238; -8;A;America/Los_Angeles
CID;Cedar Rapids;41,88469; -91,71081; 869; -6;A;America/Chicago
CIK;Chalkyitsik Airport;66,64500;-143,74000; 544; -9;A;America/Anchorage
CIL;Council Airport;64,89778;-163,70333;  85; -9;A;America/Anchorage
CIU;Chippewa County International Airport;46,25080; -84,47240; 800; -5;A;America/New_York
CKB;Harrison Marion Regional Airport;39,29660; -80,22810;1217; -5;A;America/New_York
CKD;Crooked Creek Airport;61,86778;-158,13500; 178; -9;A;America/Anchorage
CKF;Crisp County Cordele Airport;31,98883; -83,77392; 310; -5;A;America/New_York
CKV;Clarksville-Montgomery County Regional Airport;36,62194; -87,41500; 550; -6;A;America/Chicago
CLC;Clear Lake Metroport;29,55690; -95,13750;  35; -6;A;America/Chicago
CLD;McClellan-Palomar Airport;33,07420;-117,16480; 328; -8;A;America/Los_Angeles
CLE;Cleveland Hopkins Intl;41,41169; -81,84979; 791; -5;A;America/New_York
CLL;Easterwood Fld;30,58858; -96,36383; 321; -6;A;America/Chicago
CLM;William R Fairchild International Airport;48,12020;-123,50000; 291; -8;A;America/Los_Angeles
CLS;Chehalis-Centralia;46,40620;-122,58970; 177; -8;A;America/Los_Angeles
CLT;Charlotte Douglas Intl;35,21400; -80,94314; 748; -5;A;America/New_York
CLW;Clearwater Air Park;27,97647; -82,75867;  70; -5;A;America/New_York
CMH;Port Columbus Intl;39,99797; -82,89189; 815; -5;A;America/New_York
CMI;Champaign;40,03925; -88,27806; 754; -6;A;America/Chicago
CMX;Houghton County Memorial Airport;47,16840; -88,48910;1095; -5;A;America/New_York
CNM;Cavern City Air Terminal;32,33747;-104,26328;3295; -7;A;America/Denver
CNW;Tstc Waco;31,63783; -97,07414; 470; -6;A;America/Chicago
CNY;Canyonlands Field;38,75500;-109,75472;4555; -7;A;America/Denver
COD;Yellowstone Rgnl;44,52019;-109,02381;5102; -7;A;America/Denver
COE;Pappy Boyington;47,77431;-116,81958;2320; -8;A;America/Los_Angeles
COF;Patrick Afb;28,23492; -80,61012;   8; -5;A;America/New_York
COI;Merritt Island Airport;28,34161; -80,68547;   6; -5;A;America/New_York
CON;Concord Municipal;43,20267; -71,50233; 342; -5;A;America/New_York
COS;City Of Colorado Springs Muni;38,80580;-104,70078;6187; -7;A;America/Denver
COT;Cotulla Lasalle Co;28,45669; -99,22029; 474; -6;A;America/Chicago
COU;Columbia Rgnl;38,81809; -92,21963; 889; -6;A;America/Chicago
CPR;Natrona Co Intl;42,90800;-106,46442;5347; -7;A;America/Denver
CPS;St. Louis Downtown Airport;38,57072; -90,15622; 413; -6;U;America/Chicago
CRE;Grand Strand Airport;33,81175; -78,72394;  31; -5;A;America/New_York
CRP;Corpus Christi Intl;27,77036; -97,50122;  44; -6;A;America/Chicago
CRW;Yeager;38,37315; -81,59319; 981; -5;A;America/New_York
CSG;Columbus Metropolitan Airport;32,51633; -84,93886; 397; -5;A;America/New_York
CTB;Cut Bank Muni;48,60835;-112,37614;3854; -7;A;America/Denver
CTH;Chester County G O Carlson Airport;39,97890; -75,86540; 660; -5;A;America/New_York
CTJ;West Georgia Regional Airport - O V Gray Field;33,63170; -85,15226;1165; -5;A;America/New_York
CTY;Cross City;29,63553; -83,10475;  42; -5;A;America/New_York
CVG;Cincinnati Northern Kentucky Intl;39,04884; -84,66782; 896; -5;A;America/New_York
CVN;Clovis Muni;34,42514;-103,07928;4216; -7;A;America/Denver
CVO;Corvallis Muni;44,50670;-123,29150; 250; -8;A;America/Los_Angeles
CVS;Cannon Afb;34,38278;-103,32215;4295; -7;A;America/Denver
CVX;Charlevoix Municipal Airport;45,30478; -85,27533; 669; -5;A;America/New_York
CWA;Central Wisconsin;44,77273; -89,64664; 840; -6;A;America/Chicago
CWI;Clinton Municipal;41,83075; -90,32897; 708; -6;A;America/Chicago
CWT;Chatsworth Station;34,25694;-118,59889; 978; -8;A;America/Los_Angeles
CXF;Coldfoot Airport;67,25139;-150,17611;1014; -9;A;America/Anchorage
CXL;Calexico Intl;32,66950;-115,51333;   4; -8;A;America/Los_Angeles
CXO;Lone Star Executive;30,35183; -95,41447; 245; -6;A;America/Chicago
CXY;Capital City Airport;40,21714; -76,85136; 347; -5;A;America/New_York
CYF;Chefornak Airport;60,14917;-164,28556;  40; -9;A;America/Anchorage
CYM;Chatham Seaplane Base;57,51500;-134,94611;   0; -9;A;America/Anchorage
